,Date,Company,Count,Text
,,,,
,5,台積電,47,
,5,ASML,39,"['近年來，台積電、三星、英特爾在先進製程大戰打得火熱，為搶下晶圓代工市場，對極紫外光（EUV）設備需求大增。外媒報導，獨家供應半導體微影設備大廠艾司摩爾（ASML）新一代 High-NA EUV 設備飆出新天價，由於機台比前一代還要大30%，至少需要三架波音 747分批運送，預估一台要價約 4 億美元（約台幣119億元）；有專家形容，買下High-NA EUV 設備就像擁有一把好槍，能搶得市場先機。路透報導，ASML表示，去年第 4 季High-NA EUV設備訂單已有5台 ，預計於2024年交付。先前業內人士推估，下單一台動輒上百億台幣的最新EUV 肯定是大咖客戶，包括台積電、英特爾和三星。ASML新一代 High-NA EUV 設備，因為精密度更高、設計零件更多，比前一代體積大 30% 左右，重量超過 200 公噸的雙層巴士大小，至少需要三架波音 747 分批運送，估每台價格4 億美元。將用於生產下一代晶片，晶片終端領域可涵蓋手機、筆電、汽車、AI 等。微影製程技術是決定晶片上電路有多小的關鍵決定因素，High-NA有望減少66%尺寸大小。在晶片製造中越小越好，因為在同一空間中封裝的晶體管越多，晶片的速度就越快、能效越高。產業調查機構 TechInsights專家 Dan Hutcheson 認為，High-NA EUV機台可為一些晶片製造商帶來顯著優勢，有點像誰擁有最好的槍，誰就能搶得先機。一旦錯失這設備，將從此失去競爭力。台積電今年拉高資本支出至400～440億美元，相關支出多數用於先進製程，除了加速建廠2奈米及更先進製程晶圓廠，也極積投入相關半導體設備預訂採購。中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。', '爆新聞查詢基金查詢ASML正在開發新一代EUV，1台喊價4億美元。（路透社）〔財經頻道／綜合報導〕台積電、三星及英特爾等半導體大廠先進製程大戰開打，EUV需求大增，下世代High-NA EUV 設備因為精密度更高、設計零件更多，價格飆出新天價。路透稱，ASML 正在開發的High-NA EUV，機型比上一代還要大出30%，至少需要三架波音 747 分批運送，估計每台要價4億美元（約台幣118億元）。《路透》報導，ASML去年第4季High-NA EUV 在手訂單有5台，英特爾在2022年初也下訂，計畫2025年開始交貨，試點訂單則可望於2024年就開始交付。ASML目前正與有半導體業瑞士之稱的IMEC進行合作開發，原型機將在2023年上半年問世。請繼續往下"
,5,Applied Materials,6,"['爆新聞查詢基金查詢半導體設備大廠應用材料 （Applied Materials）不僅第2季營收與獲利皆低於市場預期，第3季財測恐也將續受影響。（路透）〔記者洪友芳／新竹報導〕受到中國實施封控影響零組件短缺，半導體設備大廠應用材料 （Applied Materials） 不僅第2季營收與獲利皆低於市場預期，第3季財測恐也將續受影響，營收與獲利低標將比第2季下滑。應用材料周四 （19 日） 盤後公布的第2季（5月1日止）財報，營收年增12%至62.5億美元，不計部分項目的每股盈餘為1.85美元，低於市場預期。受零組件供應鏈短缺影響，應材估第2季營收折損約1.5億美元。請繼續往下閱讀...展望第3季，應材預估營收將介於58.5億至66.5億美元，每股盈餘為1.59到1.95美元，營收與獲利預估值也分別較市場預估的66.8億美元、2.04美元為低。應材執行長Gary Dickerson表示，半導體設備需求仍然很強，但供應是個問題。零件生產重鎮的中國上海等地實施封控，造成零組件短缺變得更嚴峻，目前即使解封，應材某些供應商的營運仍不到平常水準的50%。\n    一手掌握經濟脈動\n    點我訂閱自由財經Youtube頻道\n\n    不用抽 不用搶 現在用APP看新聞 保證天天中獎\u3000\n    點我下載APP\u3000\n    按我看活動辦法\n相關新聞基金查詢more熱門新訊more注目新聞自由時報版權所有不得轉載 © 2022 The Liberty Times. All Rights Reserved.', ' wp:image {""id"":12721}  /wp:image  wp:paragraph 全球半導體設備龍頭應用材料（AMAT）公布了最新一季營運報告。今天我們要來檢視報告中釋出的訊息，同時帶你了解相關產業鏈上公司的機會與風險。 /wp:paragraph  wp:paragraph 上海封城影響持續，公司本季營運表現不升反降，營運好轉需等待解封。公司預期今年\xa0Q3\xa0出貨量回升開始加速，並暗示漲價幅度會逐季上升，進而減輕下半年毛利率壓力。若上海之後順利解封，AMSL、科林研發下半年營收將回升，台灣設備組件/代工族群下半年營運也將回溫。 /wp:paragraph  wp:paragraph 聽眾若想參與討論我們的\xa0Podcast\xa0，可以上臉書搜尋「財報狗智囊團」，或者是到社團中找到我們的\xa0Discord\xa0連結加入社群，喜歡的話記得按下訂閱，並分享給親朋好友，我們會不定期在社團中分享我們的看法。 /wp:paragraph  wp:paragraph 你可以在以下平台訂閱收聽： /wp:paragraph  wp:list  /wp:list  wp:html \n\n /wp:html  wp:html  /wp:html  wp:heading  /wp:heading  wp:paragraph 00:27\xa0全球半導體設備巨頭應用材料（AMAT）公司簡介 /wp:paragraph  wp:paragraph 01:24\xa0應用材料\xa0F22Q2\xa0營運表現回顧 /wp:paragraph  wp:paragraph 01:46\xa0本季營運表現不如預期，主要原因有哪些？ /wp:paragraph  wp:paragraph 02:43\xa0受到上海封城的影響，公司營運表現不升反降，營運好轉需等解封 /wp:paragraph  wp:paragraph 11:17\xa0消費需求疲軟，顯示設備預期將衰退\xa010％ /wp:paragraph  wp:paragraph 20:44\xa0儘管有些逆風，公司仍預期\xa0Q3\xa0出貨量會加速回升 /wp:paragraph  wp:paragraph 25:17\xa0公司暗示漲價幅度逐季上升，下半年毛利率壓力可望因此紓緩 /wp:paragraph  wp:paragraph 30:51\xa0若上海解封順利，AMSL、科林研發下半年營收將回升 /wp:paragraph  wp:paragraph 36:43\xa0台灣設備組件/代工族群\xa0Q2\xa0同步低迷，但隨著客戶營收回升，下半年營運也將回溫 /wp:paragraph  wp:paragraph 41:01\xa0財報狗徵才，財報狗徵求\xa0Python\xa0工程師與\xa0Ruby on Rails\xa0後端工程師，有興趣的朋友歡迎來與我們聊聊 /wp:paragraph  wp:heading  /wp:heading  wp:list  /wp:list  wp:paragraph  /wp:paragraph  wp:paragraph  /wp:paragraph  wp:paragraph  /wp:paragraph \n\t\t\t\t財報狗為專注於投資資訊平台與社群，提供您上市櫃公司投資數據、選股、教學與討論，幫助您自行作更好的投資決策\n\t\t\t\t財報狗網站：statementdog.com\n\t\t\t\t臉書粉絲團：www.facebook.com/statementdog\n如果您還不熟悉財報狗，請參考財報狗新手上路。使用過程遇到任何問題，可以查詢幫助中心。如果對網站功能或投資方法還有問題，歡迎到這裡詢問，我們會盡量回答您', '降雨：氣溫：℃本文由OPEN編輯部撰寫 清新雅緻的北歐住宅、古色古香的懷舊茶館、機能便利的現代辦公室，種種風格迥異的空間設計作品，皆出自 八寶空間美學 品牌之手！聚集多位耕耘...\n著作權保護 ∣\n\t\t隱私權保護 ∣\n\t\t企業社會責任 ∣\n\t\t兒童網路安全 ∣\n\t\t刊登廣告 ∣\n\t\t 人才招募 ∣\n\t\t聯絡我們\n本網站已依台灣網站內容分級規定處理  24小時免費服務電話 : 0800080412 中華電信數據通信分公司版權所有 © 2022 HiNet Internet Service by Chunghwa Telecom All Rights Reserved. ', '【時報編譯柯婉琇綜合外電報導】應用材料（Applied Materials ）上季業績和本季財測意外疲弱，顯示因中國硬封城而加劇的供應鏈瓶頸，正在阻礙其滿足晶片製造設備需求的能力。周四應材盤後股價跌1.7%，今年以來跌幅達30%。晶片製造設備面臨半導體和零組件短缺，使已經供不應求的整體晶片供應鏈持續受到壓力。執行長Gary Dickerson在財報發布後的法說會上表示，我們預期滿足需求的能力在短期內仍將因供應鏈挑戰而受到限制，但可望從我們的第四季開始逐步改善。Dickerson並表示，客戶給應材的能見度比以往更長遠、更詳細，因此看好2023年景氣將比今年更強勁。應材公布第二財季（截至5月1日）營收年增12%，為62.5億美元，不"
,5,SUMCO,6,"['【文／林麗雪】\r\n各產業處於庫存調整的利空之際，矽晶圓是少數仍供不應求、訂單已被預訂一空的產業，並最快在下半年進入漲價循環，環球晶、台勝科營運可望再高歌。\n\r\n高通膨及中國封控影響，造成各產業鏈出現程度不一的庫存調整壓力，一般預估，消費性庫存的調整將至少持續至第三季。不過，對於矽晶圓產業來說，不僅未有庫存的問題，甚至還供不應求。全球矽晶圓大廠勝高Sumco日前法說會指出，包括邏輯及記憶體矽晶圓客戶存貨天數持續下降，訂單能見度至年底無虞，定調矽晶圓產業將是今年多數產業面臨景氣逆風之餘，少數訂單能見度高、且營運相對穩健的產業，族群股價在環球晶歷經併購世創失利的利空洗禮之後，隨著下半年產業逐漸進入漲價循環，有望重整多頭旗鼓。\n\n晶圓客戶拉貨依然強勁\n\r\n矽晶圓大廠日商Sumco日前法說會釋出大利多，提及儘管消費性終端需求放緩，但晶圓客戶對矽晶圓需求維持強勁，十二吋矽晶圓吃緊且DRAM用晶圓吃緊情況更為嚴重，難以供貨給長約以外的客戶，勝高更確認，至二○二六年的產能已全數售完。\n\r\n鑒於客戶拉貨強勁，產能已預定一空，勝高將二○二二～二六年矽晶圓需求複合成長率從原先的八．四％提高至九．四％，並估算即便新廠產能加入，在二○二五年每個月都仍有一百萬片的供給缺口。產能仍供不應求下，對於價格，勝高表示，新合約中，二○二三～二四年將為矽晶圓價格上漲的第一階段，價格可望上漲二到三成；二○二五年則將進入漲價第二階段，價格將再比二○二四年再漲一成，基本面強勁態勢十足。\n\r\n而全球第三大矽晶圓廠環球晶董事長徐秀蘭亦早在三月中的法說會就釋出，今年到二○二四年的產能都已賣完，且今年的平均銷售單價會比去年好，法人推估，環球晶手上有超過一四○○億元的長約訂單，已創下歷史新高水位，而這也提前預告環球晶今、明年的營運仍看俏。\n\n環球晶併購案利空出盡\n\r\n環球晶第一季籠罩在併購世創失利的利空中，因提列持有世創股票的評價損失，衝擊逾一個股本的獲利，讓環球晶股價一度跌破五○○元大關，惟若排除世創股權評價損失，還原之後，環球晶第一季每股盈餘高達十四．六八元，創下歷史新高，毛利率及營益率分別攀升至四二．六％及三六．一％，亦都是歷史新高水準，本業表現可圈可點，而這樣強勁的基本面，可望延續下去，即便合併世創失利，環球晶透過現有廠房進行擴產，今年獲利就有望賺進近四個股本，明年更將賺進五個股本，修正後的股價顯然已低估。\r\n【全文詳情及圖表請見《先探投資週刊》2198期；訂閱先探投資週刊電子版】\n\n                    各產業處於庫存調整的利空之際，矽晶圓是少數仍供不應求、訂單已被預訂一空的產業，並最快在下半年進入漲價循環，環球晶、台勝科營運可望再高歌。                  \n                    股東會在即，除了分配盈餘與部分公司改選董監，股東也能趁機了解公司營運、評估投資機會，諸如南電挑戰四率四升、臻鼎擴產ＡＢＦ、台驊樂觀看海運…。                  \n                    各國股市第二季以來大多是利空、沒有利多而下跌，所幸美元指數回檔，外資未再連續大賣，台股配合股東會召開、陸續除權息，開始反彈，惟須注意現階段股市還是在年線之下修正，變數仍有，當下聚焦在台積電、聯發科、鴻海、華新等集團以及高殖利率族群。                  \n                    今年全球金融市場在通膨升溫、俄烏戰爭又加上通膨危機的陰影中跌跌不休，大家心中掛念著美國ＣＰＩ從七．五％、七．九％，竄升到八．五％，四月仍有八．三％，每天看到油價、糧食價格大漲，而公債殖利率不斷攀高，美國十年、三○年債都衝到三％以上，債市殖利率衝高，股市更是大跌而下，單是股債雙殺，市值至少跌掉三六兆美元以上。                  \n                    落難的台積電終於有了像樣的反彈，不過比起台積電，身為子公司的創意、精材、采鈺的走勢更強，頗有扮演集團多頭漲勢領頭羊的架式！                  ', '各產業處於庫存調整的利空之際，矽晶圓是少數仍供不應求、訂單已被預訂一空的產業，並最快在下半年進入漲價循環，環球晶、台勝科營運可望再高歌。 【文／林麗雪】 高通膨及中國封控影響，造成各"
,,,,
,4,台積電,79,
,4,ASML,31,['加入 INSIDE，與我們一同擁抱有觀點的全球科技趨勢深度內容！本篇來自合作媒體 MoneyDJ 理財網，INSIDE 經授權轉載。最新消息顯示，關鍵的半導體製造設備恐得等待一年半甚至更久才能交貨，因為前所未見的零件短缺及供應鏈吃緊問題，重創了晶片設備產業。晶片業者大舉擴產、各國政府試圖打造自家半導體供應鏈解決國安問題，進一步提高晶片、設備及材料需求，是晶片設備缺貨主因。日經亞洲評論 7 日引述未具名消息人士報導，應用材料（Applied Materials）、科磊（KLA）、科林研發（Lam Research）、艾司摩爾（ASML）等半導體設備巨擘都警告客戶，部分關鍵機台必須等待最多 18 個月，因為從鏡頭、閥門、幫浦到微控制器、工程塑膠、電子模組等零件全都缺。台積電、聯電、英特爾（Intel Corp.）、三星電子（Samsung Electronics）等晶片商皆有廠房要上線，最快是明（2023）年。報導引述消息指出，這些業者擔憂，冗長的前置時間恐影響廠房上線計畫，台積電、聯電及三星已派資深高層前往海外催貨。報導稱，2019 年疫情爆發前，交貨期平均約為 3 ~ 4 個月，2021 年已延長至 10 ~ 12 個月。業界消息透露，科磊檢測設備的等待時間在 20 個月以上。然而，訪問 10 多名業界高層後卻發現，許多半導體設備商的零件廠擴產意願不高，尋找替代品的難度也
,4,Applied Materials,7,['加入 INSIDE，與我們一同擁抱有觀點的全球科技趨勢深度內容！本篇來自合作媒體 MoneyDJ 理財網，INSIDE 經授權轉載。最新消息顯示，關鍵的半導體製造設備恐得等待一年半甚至更久才能交貨，因為前所未見的零件短缺及供應鏈吃緊問題，重創了晶片設備產業。晶片業者大舉擴產、各國政府試圖打造自家半導體供應鏈解決國安問題，進一步提高晶片、設備及材料需求，是晶片設備缺貨主因。日經亞洲評論 7 日引述未具名消息人士報導，應用材料（Applied Materials）、科磊（KLA）、科林研發（Lam Research）、艾司摩爾（ASML）等半導體設備巨擘都警告客戶，部分關鍵機台必須等待最多 18 個月，因為從鏡頭、閥門、幫
,4,SUMCO,7,"['集微網消息，諮詢機搆TECHCET日前分析稱，包括SOI晶圓在內的矽晶圓市場規模將在2022年增長10%以上，達到155億美元，同比增長14.8%，這將是十多年來矽晶圓市場首次連續兩年實現兩位數增長。集微網消息，諮詢機搆TECHCET日前分析稱，包括SOI晶圓在內的矽晶圓市場規模將在2022年增長10%以上，達到155億美元，同比增長14.8%，這將是十多年來矽晶圓市場首次連續兩年實現兩位數增長。\nTECHCET指出，矽晶圓目前供應持續緊繃，總產能大體與年內預計需求量相當，但由於不同客戶設備要求的規格不一，因此存在局部短缺，供應商現有產線優化已不足以滿足不斷增長的需求。TECHCET指出，矽晶圓目前供應持續緊繃，總產能大體與年內預計需求量相當，但由於不同客戶設備要求的規格不一，因此存在局部短缺，供應商現有產線優化已不足以滿足不斷增長的需求。\nTECHCET稱，目前主要晶圓供應商如信越半導體、SUMCO、GlobalWafers、Siltronic和SK Siltron均表態稱將新建產能，但工廠建設調試完畢預計要到2024年左右，在此之前，供求緊張狀態難以緩解，價格有進一步上漲壓力，來自中國的新競爭者如新昇半導體，有望成為下遊客戶採購12英寸晶圓的替代來源。TECHCET稱，目前主要晶圓供應商如信越半導體、SUMCO、GlobalWafers、Siltronic和SK Siltron均表態稱將新建產能，但工廠建設調試完畢預計要到2024年左右，在此之前，供求緊張狀態難以緩解，價格有進一步上漲壓力，來自中國的新競爭者如新昇半導體，有望成為下遊客戶採購12英寸晶圓的替代來源。\n\n\n\n                    三星（Samsung）集團計劃未來5年投資3560億美元，志在成為半導體、生物製藥等領域的領頭羊。產業專家認為，三星還是...                  \n                    半導體「砍單風暴」正式來襲，面板驅動IC廠開第一槍。受制面板需求疲軟、報價跌跌不休，業界傳出，已有驅動IC廠大砍晶圓代工...                  \n                    蘋果最大筆電組裝廠廣達上海廠停工與員工暴動負面效應浮現，新款Macbook Pro筆電出現嚴重供應不順，不僅通路大缺貨，...                  \n                    大陸昆山市政府最新疫情通告指出，再延長管制七天至本月27日，和碩、欣興、京鼎等台資指標廠原本預期近日復工的期待落空。其中...                  \n                    台積電昨（14）日公布首季財報，稅後純益、毛利率、每股純益同創新高，市場驚艷，單季大賺2,027.3億元，等於一天賺逾2...                  \n                    高市環評大會今天通過楠梓產業園區設置計畫。高市府經發局表示，預計4月底完成園區核定程序、5月完成土地點交及廠商取得建照，...                  ', '請參考台灣積體電路製造股份有限公司\n(一)公司簡介\n1.沿革與背景\r\n\t\t\t\t\t台積電成立於1987年2月21日，是全球第一家也是全球最大的專業積體電路(IC)製造服務公司，公司經營策略為只提供客戶專業積體電路之製造技術服務，而不設計、生產、或銷售自有品牌產品，不與客戶做商品之競爭。\r\n\t\t\t\t\t公司在北美、歐洲、日本、中國大陸、南韓、印度等地均設有子公司或辦事處，產能亦來自海外子公司為WaferTech美國子公司、台積電（上海）有限公司，及新加坡合資SSMC公司之支援。\r\n\t\t\t\t\t公司首創建置資訊平台—虛擬晶圓廠(Virtual Fab)，提供整套服務，客戶也可從晶圓廠、封裝廠、到測試廠整個供應鏈掌握訂單進度。\n2.營業項目與產品結構\r\n\t\t\t\t\t業務範圍涵蓋IC製造服務及其相關項目，提供包括晶圓製造、光罩製作、晶圓測試與錫鉛凸塊封裝及測試等客戶支援服務。\r\n\t\t\t\t\t晶圓代工服務，包括一般邏輯製程技術、非揮發性嵌入式記憶體(Embedded Non-volatile Memory)製程、嵌入式動態隨機存取記憶體(Embedded DRAM)製程、混合訊號／射頻(Mixed Signal/RF)製程、高壓(High Voltage)製程、互補金屬氧化物半導體影像感應器(CMOS Image Sensor)、彩色濾"
